Step,Body,X,Y,Z,Mass
137,1,-108276918943.00508,102093864249.23244,0,5972000000000000000000000
137,2,-107927381387.18631,101879244976.24973,0,73476730900000000000000
138,0,789189.9547977747,775110.9497070913,0,1989000000000000000000000000000
138,1,-110048393084.83675,100206241973.44957,0,5972000000000000000000000
138,2,-109670818141.00604,100071490482.85857,0,73476730900000000000000
139,0,794472.6922164542,788760.6515766744,0,1989000000000000000000000000000
139,1,-111786574900.64462,98288424089.57025,0,5972000000000000000000000
139,2,-111398479676.75978,98239654804.90695,0,73476730900000000000000
140,0,799653.3333710851,802500.1235669231,0,1989000000000000000000000000000
140,1,-113490930237.51878,96341043606.86003,0,5972000000000000000000000
140,2,-113111745675.48376,96380532532.12297,0,73476730900000000000000
141,0,804730.3576794985,816327.5572920262,0,1989000000000000000000000000000
141,1,-115160945265.27095,94364751266.02713,0,5972000000000000000000000
141,2,-114811217088.66035,94490185762.97423,0,73476730900000000000000
142,0,809702.2772445879,830241.1187938747,0,1989000000000000000000000000000
142,1,-116796130881.07417,92360213660.52657,0,5972000000000000000000000
